,cell_type
121147,CD8A+ Exhausted
121148,CD8A+ Exhausted
121149,CD8A+ Tissue-resident
121150,CD8A+ Proliferating
121151,CD8A+ Tissue-resident
121152,TAM HLAhi
121153,CD8A+ Exhausted
121154,CD4+ Treg
121155,CD8A+ Exhausted
121156,CD8A+ Exhausted
121157,TAM HLAhi
121158,TAM HLAhi
121159,TAM HLAhi
121160,CD8A+ Exhausted
121161,CD4+ Treg
121162,CD8A+ Exhausted
121163,CD8A+ Exhausted
121164,CD4+ Activated IEG
121165,CD8A+ Exhausted
121166,TAM HLAhi
121167,CD8A+ Exhausted
121168,CD8A+ Exhausted
121169,TAM HLAhi
121170,CD4+ Treg
121171,CD8A+ Tissue-resident
121172,CD8A+ Exhausted
121173,CD8A+ Exhausted
121174,CD8A+ Exhausted
121175,CD4+ Treg
121176,CD8A+ Exhausted
121177,CD8A+ Exhausted
121178,TAM HLAhi
121179,CD8A+ Exhausted IEG
121180,TAM HLAhi
121181,CD8A+ Tissue-resident
121182,TAM/TCR (Ambiguos)
121183,CD8A+ Exhausted
121184,TAM HLAhi
121185,TAM HLAint
121186,CD8A+ Exhausted
121187,CD8A+ Exhausted
121188,CD8A+ Exhausted
121189,CD8A+ Exhausted
121190,CD8A+ Exhausted
121191,CD8A+ Exhausted
121192,CD8A+ Exhausted
121193,TAM HLAhi
121194,CD8A+ Exhausted IEG
121195,CD4+ Treg
121196,CD8A+ Exhausted
121197,CD8A+ Exhausted
121198,CD8A+ Exhausted
121199,cDC1
121200,CD8A+ Exhausted
121201,CD8A+ Proliferating
121202,CD8A+ Exhausted
121203,CD8A+ Proliferating
121204,TAM HLAhi
121205,TAM HLAint
121206,CD8A+ Exhausted
121207,CD8A+ Exhausted
121208,CD8A+ Exhausted
121209,CD8A+ Exhausted
121210,TAM HLAint
121211,CD8A+ Exhausted
121212,CD8A+ Exhausted
121213,TAM HLAhi
121214,CD8A+ Tissue-resident
121215,CD8A+ Exhausted
121216,CD8A+ Exhausted
121217,cDC2
121218,TAM HLAint
121219,TAM HLAhi
121220,CD8A+ Exhausted
121221,CD8A+ Exhausted
121222,CD8A+ Exhausted
121223,CD8A+ Exhausted
121224,CD8A+ Exhausted
121225,CD8A+ Exhausted
121226,CD8A+ Exhausted
121227,CD8A+ Exhausted
121228,CD8A+ Exhausted
121229,CD4+ Activated IEG
121230,CD8A+ Exhausted
121231,TAM HLAhi
121232,CD8A+ Exhausted IEG
121233,CD8A+ Proliferating
121234,TAM HLAhi
121235,CD8A+ Proliferating
121236,CD8A+ Exhausted
121237,CD8A+ Exhausted
121238,CD8A+ Proliferating
121239,TAM HLAint
121240,CD8A+ Exhausted
121241,CD8A+ Exhausted
121242,CD8A+ Exhausted
121243,CD8A+ Exhausted
121244,CD8A+ Exhausted
121245,CD8A+ Exhausted
121246,CD8A+ Exhausted
121247,CD8A+ Exhausted
121248,CD8A+ Exhausted
121249,CD8A+ Exhausted
121250,TAM HLAhi
121251,CD8A+ Exhausted
121252,CD8A+ Exhausted
121253,CD8A+ Exhausted
121254,CD8A+ Exhausted
121255,CD8A+ Exhausted
121256,CD14+/CD16+ Monocyte
121257,CD4+ Treg
121258,TAM/TCR (Ambiguos)
121259,CD4+ Treg
121260,CD8A+ Proliferating
121261,CD8A+ Exhausted
121262,CD8A+ Tissue-resident
121263,CD4+ Treg
121264,CD45- PAX8+ renal epithelium
121265,CD8A+ Exhausted
121266,CD8A+ Exhausted
121267,CD8A+ Exhausted
121268,CD8A+ Proliferating
121269,CD8A+ Tissue-resident
121270,TAM HLAhi
121271,CD14+/CD16+ Monocyte
121272,CD8A+ Exhausted
121273,TAM HLAhi
121274,CD8A+ Exhausted
121275,CD4+ Proliferating
121276,CD8A+ Tissue-resident
121277,CD8A+ Exhausted
121278,CD4+ Treg
121279,CD4+ Treg
121280,TAM HLAhi
121281,CD8A+ Exhausted
121282,CD8A+ Exhausted
121283,CD8A+ Exhausted
121284,CD8A+ Exhausted
121285,TAM HLAhi
121286,CD8A+ Exhausted
121287,CD8A+ Exhausted
121288,CD8A+ Exhausted
121289,CD8A+ Exhausted
121290,cDC2
121291,CD8A+ Exhausted
121292,CD8A+ Exhausted
121293,CD8A+ Exhausted
121294,CD4+ Treg
121295,CD8A+ Proliferating
121296,CD4+ Naive
121297,TAM HLAhi
121298,CD8A+ Exhausted
121299,CD8A+ Exhausted
121300,CD8A+ Exhausted
121301,cDC2
121302,CD8A+ Exhausted
121303,TAM HLAhi
121304,CD8A+ Exhausted
121305,CD14+/CD16+ Monocyte
121306,TAM HLAhi
121307,TAM HLAhi
121308,CD8A+ Tissue-resident
121309,CD8A+ Exhausted
121310,CD8A+ Exhausted
121311,CD8A+ Exhausted
121312,CD8A+ Proliferating
121313,CD8A+ Exhausted
121314,CD8A+ Exhausted
121315,CD8A+ Exhausted
121316,TAM HLAhi
121317,TAM/TCR (Ambiguos)
121318,TAM HLAhi
121319,CD8A+ Exhausted
121320,CD8A+ Exhausted
121321,CD8A+ Exhausted
121322,TAM HLAhi
121323,CD8A+ Exhausted
121324,B cell
121325,CD8A+ Exhausted IEG
121326,CD8A+ Exhausted
121327,TAM/TCR (Ambiguos)
121328,CD8A+ Exhausted
121329,CD8A+ Exhausted
121330,CD8A+ Exhausted
121331,CD8A+ Exhausted
121332,TAM HLAhi
121333,cDC1
121334,CD8A+ Exhausted
121335,CD8A+ Exhausted
121336,CD8A+ Exhausted
121337,CD8A+ Tissue-resident
121338,CD8A+ Exhausted
121339,TAM HLAhi
121340,CD4+ Activated IEG
121341,TAM/TCR (Ambiguos)
121342,TAM HLAhi
121343,cDC2
121344,CD14+/CD16+ Monocyte
121345,CD8A+ Exhausted IEG
121346,CD8A+ Exhausted
121347,CD8A+ Proliferating
121348,CD8A+ Tissue-resident
121349,CD8A+ Exhausted
121350,CD14+ Monocyte
121351,CD8A+ Exhausted
121352,CD8A+ Exhausted
121353,TAM HLAhi
121354,CD8A+ Exhausted
121355,CD8A+ Exhausted
121356,CD8A+ Exhausted
121357,CD8A+ Exhausted
121358,CD8A+ Exhausted
121359,CD8A+ Exhausted
121360,CD4+ Treg
121361,CD8A+ Tissue-resident
121362,CD8A+ Tissue-resident
121363,CD8A+ Proliferating
121364,CD8A+ Exhausted
121365,CD8A+ Exhausted
121366,CD8A+ Exhausted
121367,CD8A+ Exhausted
121368,CD8A+ Exhausted
121369,CD8A+ Exhausted
121370,CD8A+ Exhausted
121371,CD4+ Treg
121372,TAM HLAhi
121373,CD8A+ Exhausted
121374,CD4+ Proliferating
121375,CD8A+ Proliferating
121376,CD8A+ Exhausted
121377,CD45- PAX8+ renal epithelium
121378,CD8A+ Exhausted
121379,CD8A+ Exhausted
121380,CD8A+ Exhausted
121381,CD8A+ Exhausted
121382,CD4+ Treg
121383,CD8A+ Tissue-resident
121384,CD8A+ Exhausted
121385,TAM HLAhi
121386,CD8A+ Exhausted
121387,CD8A+ Exhausted
121388,CD8A+ Exhausted
121389,CD14+/CD16+ Monocyte
121390,TAM HLAhi
121391,CD8A+ Exhausted
121392,CD8A+ Exhausted
121393,CD8A+ Exhausted
121394,TAM HLAhi
121395,CD8A+ Exhausted
121396,CD8A+ Exhausted
121397,CD8A+ Exhausted
121398,CD8A+ Exhausted IEG
121399,CD8A+ Exhausted
121400,CD4+ Treg
121401,TAM HLAhi
121402,CD8A+ Exhausted
121403,CD8A+ Proliferating
121404,CD8A+ Exhausted
121405,CD8A+ Exhausted
121406,CD8A+ Proliferating
121407,CD4+ Treg
121408,CD8A+ Exhausted
121409,CD8A+ Exhausted
121410,CD8A+ Proliferating
121411,CD8A+ Proliferating
121412,CD8A+ Exhausted
121413,CD45- Myofibroblast
121414,CD8A+ Proliferating
121415,CD4+ Treg
121416,CD8A+ Exhausted
121417,CD8A+ Exhausted
121418,CD8A+ Exhausted
121419,CD8A+ Exhausted
121420,CD8A+ Exhausted
121421,CD45- Myofibroblast
121422,TAM HLAhi
121423,CD8A+ Exhausted
121424,CD4+ Treg
121425,CD8A+ Exhausted
121426,CD8A+ Exhausted
121427,CD8A+ Exhausted
121428,CD8A+ Exhausted
121429,CD8A+ Exhausted
121430,CD8A+ Exhausted
121431,TAM HLAhi
121432,CD8A+ Exhausted
121433,CD8A+ Exhausted
121434,CD8A+ Exhausted
121435,CD8A+ Exhausted
121436,CD8A+ Exhausted
121437,CD8A+ Exhausted
121438,CD8A+ Exhausted
121439,CD8A+ Exhausted
121440,TAM HLAhi
121441,CD8A+ Exhausted
121442,TAM HLAhi
121443,TAM HLAhi
121444,CD8A+ Exhausted
121445,CD8A+ Exhausted
121446,CD8A+ Exhausted
121447,CD8A+ Exhausted
121448,CD8A+ Exhausted
121449,TAM HLAhi
121450,CD14+/CD16+ Monocyte
121451,CD8A+ Exhausted
121452,CD4+ Proliferating
121453,CD8A+ Exhausted
121454,CD14+/CD16+ Monocyte
121455,TAM HLAhi
121456,CD8A+ Exhausted
121457,CD8A+ Exhausted
121458,CD4+ Treg
121459,CD8A+ Proliferating
121460,CD8A+ Exhausted
121461,CD8A+ Exhausted
121462,CD8A+ Proliferating
121463,CD8A+ Tissue-resident
121464,CD8A+ Exhausted
121465,CD8A+ Exhausted
121466,CD8A+ Exhausted
121467,CD8A+ Exhausted
121468,CD45- PAX8+ renal epithelium
121469,CD8A+ Exhausted
121470,CD8A+ Exhausted
121471,CD8A+ Exhausted
121472,TAM HLAhi
121473,TAM HLAhi
121474,CD8A+ Exhausted
121475,CD4+ Treg
121476,TAM HLAhi
121477,TAM HLAhi
121478,CD8A+ Exhausted
121479,CD8A+ Exhausted
121480,TAM HLAhi
121481,CD4+ Treg
121482,TAM HLAhi
121483,CD8A+ Exhausted
121484,CD8A+ Exhausted
121485,CD8A+ Exhausted
121486,CD4+ Treg
121487,CD8A+ Exhausted
121488,CD8A+ Proliferating
121489,CD8A+ Exhausted
121490,CD45- Myofibroblast
121491,B cell
121492,CD8A+ Tissue-resident
121493,TAM HLAint
121494,CD8A+ Exhausted
121495,CD4+ Activated IEG
121496,CD8A+ Exhausted
121497,TAM HLAhi
121498,CD8A+ Exhausted
121499,CD8A+ Exhausted
121500,CD4+ Treg
121501,CD8A+ Exhausted
121502,CD8A+ Exhausted
121503,TAM HLAhi
121504,CD8A+ Exhausted
121505,CD8A+ Tissue-resident
121506,CD8A+ Exhausted
121507,CD8A+ Exhausted
121508,CD14+/CD16+ Monocyte
121509,CD8A+ Exhausted
121510,CD8A+ Exhausted
121511,TAM HLAhi
121512,CD8A+ Tissue-resident
121513,CD8A+ Proliferating
121514,CD8A+ Exhausted
121515,CD4+ Activated IEG
121516,CD8A+ Exhausted
121517,CD8A+ Exhausted
121518,CD8A+ Exhausted
121519,CD4+ Treg
121520,TAM HLAhi
121521,CD8A+ Exhausted
121522,CD8A+ Exhausted
121523,CD8A+ Exhausted
121524,CD8A+ Exhausted
121525,CD8A+ Exhausted
121526,CD8A+ Exhausted
121527,CD8A+ NK-like
121528,CD8A+ Exhausted
121529,CD8A+ Exhausted
121530,TAM HLAhi
121531,TAM HLAint
121532,CD8A+ Exhausted
121533,CD8A+ Proliferating
121534,CD8A+ Exhausted
121535,CD8A+ Exhausted
121536,CD4+ Activated IEG
121537,CD8A+ Exhausted
121538,CD8A+ Exhausted
121539,CD8A+ Exhausted
121540,CD8A+ Exhausted
121541,CD8A+ Exhausted
121542,TAM HLAhi
121543,CD8A+ Exhausted
121544,TAM HLAhi
121545,CD8A+ Exhausted
121546,CD8A+ Tissue-resident
121547,TAM HLAhi
121548,CD8A+ Exhausted
121549,CD8A+ Exhausted
121550,CD8A+ Exhausted
121551,CD8A+ Exhausted
121552,CD4+ Treg
121553,CD8A+ Exhausted
121554,CD8A+ Exhausted
121555,cDC2
121556,CD8A+ Exhausted IEG
121557,CD8A+ Exhausted
121558,CD4+ Treg
121559,CD8A+ Proliferating
121560,CD8A+ Proliferating
121561,CD8A+ Proliferating
121562,B cell
121563,CD4+ Activated IEG
121564,CD8A+ Exhausted
121565,CD8A+ Exhausted
121566,CD8A+ Exhausted IEG
121567,CD8A+ Exhausted IEG
121568,CD8A+ Exhausted
121569,CD8A+ Exhausted
121570,CD8A+ Exhausted
121571,CD8A+ Tissue-resident
121572,TAM HLAhi
121573,CD8A+ Proliferating
121574,CD8A+ Exhausted
121575,CD8A+ Exhausted
121576,CD8A+ Exhausted
121577,CD8A+ Exhausted
121578,CD8A+ Proliferating
121579,CD8A+ Exhausted
121580,CD8A+ Exhausted
121581,CD4+ Treg
121582,cDC2
121583,CD8A+ NK-like
121584,TAM HLAhi
121585,TAM HLAhi
121586,CD8A+ Proliferating
121587,CD8A+ Exhausted
121588,CD8A+ Exhausted
121589,CD4+ Activated IEG
121590,CD8A+ Exhausted
121591,TAM HLAhi
121592,TAM HLAhi
121593,CD8A+ Exhausted
121594,CD8A+ Exhausted
121595,CD8A+ Exhausted
121596,CD8A+ Tissue-resident
121597,CD4+ Treg
121598,cDC2
121599,TAM/TCR (Ambiguos)
121600,TAM/TCR (Ambiguos)
121601,TAM HLAhi
121602,TAM HLAhi
121603,CD8A+ Exhausted
121604,CD8A+ Tissue-resident
121605,CD4+ Treg
121606,CD8A+ Exhausted
121607,CD8A+ Exhausted
121608,CD8A+ Exhausted IEG
121609,CD8A+ Exhausted
121610,CD8A+ Proliferating
121611,CD8A+ Exhausted
121612,CD8A+ Exhausted
121613,CD8A+ Tissue-resident
121614,CD4+ Treg
121615,CD8A+ Exhausted
121616,TAM HLAhi
121617,CD8A+ Exhausted
121618,CD8A+ Exhausted
121619,CD8A+ Exhausted
121620,CD8A+ Exhausted
121621,CD8A+ Exhausted
121622,TAM HLAhi
121623,CD8A+ Exhausted IEG
121624,TAM HLAhi
121625,CD8A+ Exhausted
121626,CD8A+ Proliferating
121627,CD8A+ Exhausted
121628,CD8A+ Tissue-resident
121629,CD8A+ Exhausted
121630,CD8A+ Exhausted
121631,TAM/TCR (Ambiguos)
121632,CD4+ Treg
121633,CD8A+ Exhausted
121634,CD4+ Treg
121635,CD8A+ Exhausted
121636,CD8A+ Exhausted
121637,TAM HLAhi
121638,CD4+ Activated IEG
121639,CD8A+ Exhausted
121640,CD8A+ Exhausted IEG
121641,CD8A+ Tissue-resident
121642,CD4+ Treg
121643,TAM HLAhi
121644,CD4+ Treg
121645,CD8A+ Exhausted
121646,CD8A+ Exhausted
121647,CD8A+ Exhausted
121648,CD8A+ Exhausted
121649,CD45- PAX8+ renal epithelium
121650,CD8A+ Exhausted
121651,CD8A+ Exhausted
121652,CD8A+ Exhausted
121653,cDC2
121654,TAM/TCR (Ambiguos)
121655,CD4+ Treg
121656,CD4+ Activated IEG
121657,CD8A+ Exhausted
121658,TAM HLAhi
121659,CD8A+ Exhausted
121660,CD8A+ Proliferating
121661,CD8A+ Exhausted
121662,TAM HLAhi
121663,CD8A+ Exhausted
121664,CD8A+ Exhausted
121665,CD8A+ Exhausted
121666,CD4+ Treg
121667,CD8A+ Proliferating
121668,CD8A+ Exhausted
121669,CD8A+ Exhausted
121670,CD4+ Activated IEG
121671,CD4+ Treg
121672,CD8A+ Tissue-resident
121673,CD8A+ Exhausted
121674,TAM HLAhi
121675,CD8A+ Exhausted
121676,CD8A+ Exhausted
121677,CD8A+ Proliferating
121678,TAM HLAhi
121679,TAM HLAhi
121680,CD8A+ Exhausted
121681,CD8A+ Exhausted
121682,CD8A+ Exhausted
121683,TAM HLAhi
121684,CD8A+ Exhausted
121685,CD8A+ Exhausted
121686,CD8A+ Exhausted
121687,CD8A+ Exhausted
121688,CD8A+ Proliferating
121689,TAM HLAhi
121690,CD8A+ Exhausted
121691,CD8A+ Exhausted
121692,CD8A+ Exhausted
121693,CD8A+ Exhausted
121694,CD8A+ Proliferating
121695,CD8A+ Exhausted
121696,CD8A+ Exhausted
121697,CD8A+ Exhausted
121698,CD4+ Effector
121699,CD8A+ Exhausted
121700,CD8A+ Proliferating
121701,cDC2
121702,CD4+ Treg
121703,TAM HLAhi
121704,TAM HLAhi
121705,CD8A+ Exhausted
121706,CD8A+ Tissue-resident
121707,CD8A+ Exhausted
121708,TAM HLAhi
121709,CD8A+ Exhausted
121710,CD8A+ Exhausted
121711,CD8A+ Exhausted
121712,CD8A+ Exhausted
121713,CD8A+ Tissue-resident
121714,CD8A+ Exhausted
121715,CD8A+ Exhausted
121716,TAM HLAhi
121717,CD8A+ Exhausted
121718,CD8A+ Exhausted
121719,CD4+ Treg
121720,CD8A+ Tissue-resident
121721,TAM/TCR (Ambiguos)
121722,CD4+ Treg
121723,CD8A+ Exhausted
121724,CD8A+ Tissue-resident
121725,CD8A+ Exhausted
121726,CD8A+ Exhausted
121727,CD8A+ Exhausted
121728,CD8A+ Exhausted
121729,CD8A+ Exhausted
121730,CD8A+ Exhausted
121731,CD8A+ Exhausted
121732,CD8A+ Tissue-resident
121733,CD8A+ Exhausted IEG
121734,CD4+ Treg
121735,cDC2
121736,CD8A+ Exhausted
121737,CD8A+ Exhausted
121738,CD8A+ Exhausted
121739,CD8A+ Exhausted
121740,CD8A+ Exhausted IEG
121741,CD45- PAX8+ renal epithelium
121742,CD8A+ Exhausted
121743,CD8A+ Exhausted
121744,CD8A+ Exhausted
121745,CD4+ Treg
121746,CD8A+ Exhausted
121747,CD8A+ Exhausted
121748,CD8A+ Exhausted
121749,CD8A+ Exhausted
121750,NK HSP+
121751,TAM HLAhi
121752,CD8A+ Exhausted
121753,CD45- PAX8+ renal epithelium
121754,CD8A+ Exhausted
121755,CD8A+ Exhausted
121756,TAM HLAhi
121757,TAM ISGint
121758,CD4+ Treg
121759,TAM HLAhi
121760,CD8A+ Exhausted
121761,CD8A+ Exhausted IEG
121762,CD8A+ Exhausted
121763,CD45- Vascular Endothelium
121764,CD8A+ Exhausted
121765,CD8A+ Exhausted
121766,TAM/TCR (Ambiguos)
121767,cDC2
121768,CD8A+ Exhausted
121769,CD8A+ Exhausted IEG
121770,CD8A+ Exhausted
121771,CD8A+ Exhausted
121772,CD8A+ Exhausted
121773,TAM HLAint
121774,CD4+ Activated IEG
121775,CD8A+ Exhausted
121776,CD8A+ Exhausted IEG
121777,CD4+ Treg
121778,CD8A+ Exhausted
121779,TAM/TCR (Ambiguos)
121780,CD8A+ Proliferating
121781,CD8A+ Exhausted
121782,CD8A+ Exhausted
121783,CD8A+ Exhausted
121784,CD8A+ Exhausted
121785,CD8A+ Exhausted
121786,CD8A+ Exhausted
121787,CD8A+ Exhausted
121788,CD8A+ Exhausted
121789,TAM HLAhi
121790,CD8A+ Exhausted IEG
121791,CD8A+ Exhausted
121792,CD8A+ Exhausted
121793,CD8A+ Exhausted
121794,CD8A+ Exhausted
121795,CD8A+ Exhausted
121796,TAM HLAhi
121797,TAM HLAhi
121798,CD8A+ Exhausted
121799,CD4+ Treg
121800,CD8A+ Exhausted
121801,TAM HLAhi
121802,CD8A+ Exhausted
121803,CD8A+ Exhausted
121804,CD4+ Treg
121805,CD8A+ Exhausted
121806,CD8A+ Exhausted
121807,CD8A+ Exhausted
121808,CD8A+ Exhausted IEG
121809,CD45- PAX8+ renal epithelium
121810,CD8A+ Exhausted
121811,CD8A+ Exhausted
121812,CD4+ Treg
121813,CD8A+ Exhausted
121814,CD14+/CD16+ Monocyte
121815,CD8A+ Exhausted
121816,CD8A+ Exhausted
121817,CD8A+ Proliferating
121818,CD4+ Treg
121819,CD8A+ Exhausted
121820,CD8A+ Exhausted
121821,TAM HLAhi
121822,CD8A+ Exhausted
121823,TAM HLAint
121824,CD8A+ Exhausted
121825,CD8A+ Exhausted
121826,CD8A+ Exhausted
121827,TAM/TCR (Ambiguos)
121828,CD8A+ Exhausted
121829,CD8A+ Exhausted
121830,CD8A+ Exhausted
121831,cDC2
121832,CD8A+ Tissue-resident
121833,CD8A+ Exhausted
121834,B cell
121835,CD8A+ Exhausted
121836,CD8A+ Exhausted IEG
121837,CD8A+ Exhausted
121838,CD8A+ Exhausted
121839,CD8A+ Tissue-resident
121840,CD8A+ Exhausted IEG
121841,CD45- PAX8+ renal epithelium
121842,B cell
121843,CD8A+ Exhausted
121844,CD8A+ Exhausted
121845,CD8A+ Exhausted
121846,CD8A+ Exhausted
121847,CD8A+ Exhausted
121848,CD8A+ Proliferating
121849,TAM HLAhi
121850,CD8A+ Proliferating
121851,CD8A+ Exhausted
121852,CD8A+ Exhausted
121853,CD8A+ Exhausted
121854,CD8A+ Exhausted
121855,CD4+ Proliferating
121856,CD8A+ Exhausted
121857,CD4+ Proliferating
121858,CD8A+ Exhausted
121859,TAM HLAhi
121860,CD8A+ Proliferating
121861,CD8A+ Exhausted
121862,CD8A+ Exhausted
121863,cDC2
121864,CD8A+ Exhausted
121865,CD8A+ Exhausted
121866,CD8A+ Exhausted
121867,CD14+/CD16+ Monocyte
121868,CD8A+ Proliferating
121869,TAM HLAhi
121870,CD8A+ Exhausted
121871,CD8A+ Exhausted
121872,CD8A+ Exhausted
121873,TAM HLAhi
121874,CD8A+ Exhausted
121875,CD4+ Treg
121876,TAM/TCR (Ambiguos)
121877,CD8A+ Tissue-resident
121878,CD4+ Effector
121879,CD8A+ Exhausted
121880,TAM HLAhi
121881,CD8A+ Exhausted
121882,CD8A+ Exhausted
121883,CD4+ Activated IEG
121884,TAM HLAhi
121885,CD8A+ Exhausted
121886,CD8A+ Exhausted
121887,CD4+ Proliferating
121888,TAM HLAhi
121889,CD8A+ Exhausted
121890,CD8A+ Tissue-resident
121891,CD8A+ Tissue-resident
121892,CD4+ Treg
121893,TAM HLAhi
121894,CD8A+ Exhausted
121895,CD8A+ Proliferating
121896,CD8A+ Exhausted IEG
121897,CD8A+ Exhausted
121898,CD8A+ Exhausted
121899,CD8A+ Tissue-resident
121900,CD8A+ Exhausted
121901,CD8A+ Exhausted
121902,TAM HLAhi
121903,TAM/TCR (Ambiguos)
121904,CD8A+ Exhausted
121905,CD4+ Treg
121906,CD8A+ Exhausted
121907,CD8A+ Exhausted
121908,CD4+ Treg
121909,TAM ISGint
121910,CD8A+ Proliferating
121911,CD8A+ Exhausted
121912,TAM HLAhi
121913,CD45- PAX8+ renal epithelium
121914,CD8A+ Exhausted
121915,TAM/TCR (Ambiguos)
121916,TAM HLAhi
121917,CD8A+ Tissue-resident
121918,CD8A+ Exhausted
121919,CD8A+ Exhausted
121920,CD8A+ Exhausted
121921,NK HSP+
121922,CD45- Vascular Endothelium
121923,CD8A+ Proliferating
121924,TAM HLAhi
121925,CD8A+ Exhausted
121926,CD8A+ Tissue-resident
121927,CD4+ Activated IEG
121928,TAM HLAhi
121929,CD45- Myofibroblast
121930,CD8A+ Exhausted
121931,CD8A+ Exhausted
121932,CD8A+ Exhausted
121933,CD8A+ Exhausted
121934,CD8A+ Exhausted
121935,CD8A+ Exhausted
121936,CD8A+ Exhausted
121937,CD8A+ Exhausted
121938,CD8A+ Exhausted
121939,CD8A+ Exhausted
121940,CD8A+ Proliferating
121941,CD8A+ Exhausted
121942,CD8A+ Exhausted
121943,CD4+ Treg
121944,TAM HLAhi
121945,TAM HLAhi
121946,CD4+ Treg
121947,CD8A+ Exhausted
121948,CD4+ Treg
121949,TAM HLAhi
121950,CD8A+ Proliferating
121951,CD8A+ Exhausted
121952,CD8A+ Exhausted
121953,CD4+ Treg
121954,CD8A+ Exhausted
121955,TAM HLAhi
121956,CD8A+ Exhausted
121957,CD4+ Effector
121958,CD8A+ Proliferating
121959,CD45- PAX8+ renal epithelium
121960,CD8A+ Exhausted IEG
121961,CD8A+ Exhausted
121962,CD8A+ Exhausted
121963,CD8A+ Exhausted
121964,CD8A+ Proliferating
121965,CD8A+ Exhausted
121966,CD8A+ Exhausted
121967,cDC2
121968,CD8A+ Exhausted
121969,CD8A+ Exhausted
121970,TAM HLAint
121971,TAM HLAhi
121972,CD8A+ Exhausted
121973,CD8A+ Exhausted
121974,CD8A+ Exhausted
121975,CD8A+ Exhausted
121976,TAM HLAhi
121977,CD8A+ Exhausted
121978,CD8A+ Exhausted IEG
121979,CD8A+ Proliferating
121980,CD8A+ Exhausted IEG
121981,CD8A+ Exhausted
121982,TAM HLAhi
121983,CD4+ Treg
121984,cDC2
121985,CD4+ Effector
121986,CD4+ Treg
121987,TAM HLAint
121988,CD8A+ Exhausted
121989,CD8A+ Exhausted
121990,CD8A+ Exhausted
121991,TAM/TCR (Ambiguos)
121992,CD8A+ Exhausted
121993,CD8A+ Exhausted
121994,CD8A+ Proliferating
121995,CD8A+ Tissue-resident
121996,CD8A+ Exhausted IEG
121997,CD4+ Treg
121998,CD8A+ Exhausted
121999,CD4+ Treg
122000,CD8A+ Exhausted
122001,CD8A+ Exhausted
122002,CD8A+ Tissue-resident
122003,CD8A+ Exhausted
122004,CD8A+ Exhausted
122005,CD8A+ Exhausted
122006,CD8A+ NK-like
122007,CD8A+ Proliferating
122008,CD8A+ Exhausted
122009,TAM HLAhi
122010,TAM HLAhi
122011,CD8A+ Exhausted
122012,CD8A+ Proliferating
122013,CD8A+ Exhausted
122014,CD8A+ Proliferating
122015,TAM HLAhi
122016,CD4+ Treg
122017,TAM/TCR (Ambiguos)
122018,TAM HLAhi
122019,CD8A+ Exhausted
122020,CD8A+ NK-like
122021,CD8A+ Exhausted
122022,CD8A+ Proliferating
122023,CD8A+ Exhausted
122024,cDC1
122025,TAM HLAhi
122026,CD4+ Activated IEG
122027,CD8A+ Tissue-resident
122028,TAM HLAhi
122029,cDC2
122030,CD8A+ Exhausted
122031,CD8A+ Exhausted
122032,TAM HLAhi
122033,CD8A+ Proliferating
122034,CD8A+ Exhausted
122035,TAM/TCR (Ambiguos)
122036,CD8A+ Exhausted
122037,CD8A+ NK-like
122038,CD8A+ Exhausted
122039,TAM HLAhi
122040,CD8A+ Tissue-resident
122041,CD8A+ Exhausted
122042,TAM HLAhi
122043,CD8A+ Exhausted
122044,TAM HLAhi
122045,TAM HLAhi
122046,CD4+ Activated IEG
122047,CD8A+ Exhausted
122048,CD8A+ NK-like
122049,TAM HLAhi
122050,CD8A+ Proliferating
122051,TAM HLAhi
122052,TAM HLAhi
122053,cDC2
122054,CD8A+ Exhausted
122055,CD4+ Activated IEG
122056,TAM HLAhi
122057,CD8A+ Exhausted
122058,CD4+ Effector
122059,CD8A+ Exhausted
122060,CD8A+ Exhausted
122061,TAM HLAhi
122062,CD8A+ Exhausted
122063,CD8A+ Exhausted
122064,CD8A+ Exhausted
122065,CD8A+ Exhausted IEG
122066,TAM HLAhi
122067,CD8A+ Exhausted
122068,CD4+ Treg
122069,CD4+ Treg
122070,TAM HLAhi
122071,CD8A+ Exhausted
122072,TAM HLAhi
122073,CD8A+ Exhausted
122074,CD8A+ Exhausted
122075,TAM HLAhi
122076,CD8A+ Proliferating
122077,CD8A+ Exhausted
122078,TAM HLAhi
122079,TAM HLAhi
122080,TAM HLAhi
122081,CD8A+ Exhausted
122082,CD14+/CD16+ Monocyte
122083,CD8A+ Exhausted
122084,CD8A+ Exhausted
122085,CD8A+ Exhausted
122086,CD8A+ Exhausted
122087,CD8A+ Exhausted
122088,TAM HLAhi
122089,CD8A+ Exhausted IEG
122090,CD8A+ Tissue-resident
122091,CD8A+ Exhausted
122092,CD8A+ Exhausted
122093,CD8A+ Exhausted
122094,CD8A+ Exhausted
122095,cDC2
122096,CD8A+ Exhausted
122097,TAM HLAhi
122098,TAM HLAhi
122099,CD8A+ Exhausted
122100,CD8A+ Exhausted
122101,CD8A+ Tissue-resident
122102,CD8A+ Exhausted
122103,CD8A+ Exhausted
122104,CD8A+ Proliferating
122105,CD8A+ Exhausted
122106,CD8A+ Exhausted
122107,CD8A+ Tissue-resident
122108,cDC2
122109,TAM/TCR (Ambiguos)
122110,CD8A+ Exhausted
122111,CD8A+ Exhausted
122112,CD8A+ Exhausted
122113,CD4+ Effector
122114,TAM HLAhi
